key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,0,,1,,,,,,respond YES,respond NO,,,,,
up,0,0,,1,,,,,signal present ,hit,miss,,,,,
up,1,0,,1,,,,,signal absent,false alarm,correct rejection ,,prop hit = hit/hit+miss,,,0.79245283
down,0,0,,,1,,,,,,,,prop fa = fa/fa+cr ,,,0.553191489
up,0,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,respond YES,respond NO,,,,,
up,0,-2,,,,1,,,signal present,42,11,,d-prime=z(prop hit)-z(prop fa),,,0.681232703
up,0,-2,,,,1,,,signal absent ,26,21,,criterion,,,-0.47435
up,1,0,,1,,,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-1,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-1,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,1,1,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-1,,,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
,,,,42,11,26,21,,,,,,,,,
